ID,medv
3,34.543
6,24.71799999999998
8,16.153
9,15.540999999999995
10,17.89399999999999
18,19.023999999999997
20,20.163999999999998
25,16.73599999999999
26,15.993999999999987
27,17.618000000000002
29,19.099999999999998
30,21.29099999999999
33,16.615
34,15.291999999999998
36,21.236999999999988
37,21.278999999999993
38,22.701999999999998
42,29.926
49,17.493999999999996
53,24.75000000000001
60,21.168000000000003
63,23.788000000000007
70,22.165000000000006
72,22.29499999999998
79,21.22
80,22.711999999999993
83,23.569000000000003
92,22.96499999999998
93,23.659999999999997
96,27.420999999999985
98,46.12100000000003
99,46.02000000000001
100,33.240999999999985
105,19.838999999999995
106,18.204999999999995
111,21.046000000000003
113,18.508
114,18.015999999999995
116,18.529000000000003
126,19.855999999999998
130,16.242000000000004
131,19.12899999999999
133,20.084999999999994
136,17.445999999999998
141,15.216
144,13.841999999999993
145,13.94899999999999
147,15.49399999999999
152,20.508999999999986
153,21.74599999999999
156,17.575999999999993
158,35.59899999999999
163,47.85099999999999
169,21.40199999999999
185,23.095
186,25.014
189,29.624999999999986
196,48.04
197,34.069000000000024
199,32.29100000000001
200,33.65300000000003
203,43.675
208,19.368999999999993
210,16.95599999999998
211,18.74999999999999
213,20.12699999999999
216,24.756999999999994
218,23.115999999999996
219,18.603999999999996
220,21.604000000000006
221,29.683999999999997
229,43.974000000000025
232,35.40599999999999
238,34.98599999999998
239,24.08099999999999
240,25.715999999999994
242,21.647000000000016
246,18.813999999999993
248,20.567999999999998
253,32.783
255,22.121
256,21.091000000000005
257,41.176000000000016
258,46.842000000000034
259,35.80500000000002
260,31.764
268,43.96500000000002
270,20.894000000000002
271,20.622999999999987
276,32.55800000000001
277,34.86800000000001
278,32.12600000000002
279,24.635000000000012
281,47.36500000000001
288,23.064
290,24.757999999999992
292,33.45900000000002
295,22.00400000000002
296,26.282999999999987
299,25.069999999999983
300,34.60400000000001
301,30.813999999999982
308,29.862000000000002
314,22.427999999999994
315,23.75199999999999
320,21.755
322,24.817999999999998
323,22.71599999999999
324,19.411000000000005
327,24.377
330,23.462999999999987
332,20.246000000000016
333,21.283
336,20.578999999999986
338,19.868
346,20.990999999999996
347,20.384999999999994
351,22.368
352,25.387999999999987
354,32.451000000000015
355,20.539999999999992
356,21.82099999999998
362,20.772
364,18.499000000000002
365,44.957000000000036
370,43.41700000000001
376,31.092000000000006
379,12.44999999999999
380,12.717999999999986
381,23.756999999999998
382,12.29699999999999
386,8.512999999999996
389,8.49
391,15.283000000000001
394,16.378
396,14.956999999999995
398,12.66599999999999
400,12.295999999999992
403,11.951999999999991
405,7.227
406,7.664000000000002
407,12.946999999999985
410,15.304999999999986
411,30.874000000000006
412,12.757999999999992
413,12.113999999999987
417,10.788999999999994
421,14.596000000000009
422,16.424000000000003
423,21.172000000000015
424,14.742999999999995
427,15.731999999999998
431,14.823999999999991
436,11.969999999999997
437,12.513000000000002
439,8.804
447,15.799999999999997
450,14.459999999999996
451,14.938999999999995
455,14.625999999999992
457,15.734999999999992
471,18.376999999999995
474,28.020000000000003
476,14.62199999999999
483,29.780000000000005
486,21.938999999999993
490,12.611999999999997
495,20.72299999999999
496,18.9
497,17.909
499,20.952999999999996
501,19.62299999999999
505,25.25300000000001
